,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,65.0,0,0.00027435100000028356,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",geometric,7,0.99,0.001,6.999980698788767,7,950
1,50.0,67.0,90,0.013565555000000007,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]",geometric,7,0.99,0.001,6.999045696369062,7,950
2,100.0,71.0,174,0.025969087000000002,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",geometric,7,0.99,0.001,6.998173252076078,7,950
3,150.0,63.0,256,0.03952079200000025,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",geometric,7,0.99,0.001,6.997220171477071,7,950
4,200.0,55.0,323,0.05307809500000005,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",geometric,7,0.99,0.001,6.99626682705559,7,950
5,250.0,58.0,388,0.06697426900000014,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",geometric,7,0.99,0.001,6.9952897881534195,7,950
6,300.0,55.0,445,0.08157058500000014,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.994263669251908,7,950
7,350.0,55.0,495,0.1002868480000001,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.99294813891196,7,950
8,400.0,55.0,545,0.11636160300000009,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.99181847263671,7,950
9,450.0,55.0,595,0.13360500900000005,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.990606881349676,7,950
10,500.0,55.0,645,0.15164070600000024,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.989339845144158,7,950
11,550.0,55.0,695,0.17065731200000034,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.988004147253777,7,950
12,600.0,55.0,735,0.188466075,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",geometric,7,0.99,0.001,6.986753517899771,7,950
